,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
3634,Lifekeys,3634.0,5.0,0.11269949973875411,0.11269949973875411,0,0.11269949973875411,101333.33333333333,7.0710678118654755,1.8027756377319946,44.36576925,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3662,BioModics,3662.0,10.0,2.8669411525789696,2.8669411525789696,1,2.3138698278688534,0.0,0.0,0.0,4.321764292682927,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3663,Beemray,3663.0,7.5,1.693075483806478,1.693075483806478,0,1.693075483806478,397500.0,1.7710976153043516,0.0,4.4298084,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
3665,Taitori,3665.0,3.0,0.6772301935225912,0.6772301935225912,0,0.6772301935225912,440000.0,1.4142135623730951,0.0,4.4298084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3670,Intellego Technologies AB,3670.0,2.36,0.050810933086634646,0.050810933086634646,0,0.050810933086634646,316000.0,1.4142135623730951,0.0,46.44669673702128,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3675,Qlocx,3675.0,17.5,0.378379288943024,0.378379288943024,0,0.378379288943024,81750.0,1.5874010519681994,0.0,46.2498887,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
3683,Fooducer,3683.0,15.0,0.45499159379522564,0.45499159379522564,0,0.45499159379522564,0.0,0.0,0.0,32.96764205,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3684,Digital Revisor,3684.0,17.5,0.53082352609443,0.53082352609443,0,0.53082352609443,0.0,0.0,0.0,32.967642049999995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3685,BComp AG,3685.0,15.0,3.4445437169607196,0.18757578691257382,0,3.4445437169607196,2000000.0,0.0,1.2574334296829355,4.354713202256929,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3686,Claned,3686.0,13.0,15.281613642702922,15.281613642702922,1,13.781613642702922,0.0,0.0,0.0,0.9432857673298097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3688,BetterDoctor,3688.0,2.65,25.93594718272691,4.40594718272691,1,0.53,0.0,0.0,0.0,5.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3703,360Visualizer,3703.0,2.5,0.8013890623350662,0.8013890623350662,0,0.8013890623350662,0.0,0.0,0.0,3.11958338028169,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3704,Content Central,3704.0,4.5,1.1257433978408637,1.1257433978408637,0,1.1257433978408637,45000.0,0.0,0.0,3.9973585531399443,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3705,Springworks AB,3705.0,5.0,6.523984197600962,6.523984197600962,1,6.523984197600962,4500000.0,0.0,0.0,0.7664028373702422,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
3708,Tech Buddy,3708.0,10.5,2.3703056773290694,2.3703056773290694,1,2.3703056773290694,1108200.0,2.687865167030677,1.0106397952615327,4.4298084,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
3713,Opbeat,3713.0,13.5,2.8000000000000003,0.1,0,2.8000000000000003,0.0,0.0,0.0,4.821428571428571,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3715,Bookatreat,3715.0,5.0,1.3544603870451826,1.3544603870451826,0,1.3544603870451826,62750.0,2.154434690031884,0.0,3.6915069999999996,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3718,Urb-it,3718.0,12.5,10.603992515793687,10.603992515793687,1,10.603992515793687,197411.6,1.8704968726722733,1.0486183564534441,1.17880128464655,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
3721,Assently,3721.0,5.0,1.1287169892043187,1.1287169892043187,0,1.1287169892043187,1617400.0,1.2599350859323264,1.1597779995297994,4.4298084,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3722,Singa,3722.0,8.75,2.5734747353858465,2.5734747353858465,1,2.5734747353858465,1033333.3333333334,2.23606797749979,1.1223507977934435,3.4000722368421052,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
